uid_index,pred_median,pred_lower_5,pred_upper_95,y_true
0,1.333333333000005,1.333333333000005,1.3333333330000052,1.333333333
1,2.444444443999999,2.444444443999999,2.444444443999999,2.444444444
2,3.048770621576244,3.039480891058514,3.0536792092823597,3.0420420420131484
3,2.3830817977214416,2.3750832390928522,2.386399999615191,2.3866666662816005
4,3.672417258006453,3.6599087960074916,3.722104008300463,3.666666667
5,1.2222222219999994,1.2222222219999994,1.2222222219999994,1.222222222
6,2.5476190475076663,2.5476190475076663,2.547882320640311,2.547619047507653
7,1.2222222219999994,1.2222222219999994,1.2222222219999994,1.222222222
8,3.549227592096649,3.530109137433547,3.563503760145799,3.555555556
9,1.2222222219999994,1.2222222219999994,1.2222222219999994,1.222222222
10,1.888888888999991,1.888888888999991,1.888888888999991,1.888888889
11,3.9273611111987456,3.87811111123299,4.032291666639876,3.8930817611655386
12,2.386666666281599,2.386666666281599,2.386666666281599,2.3866666662816005
13,2.444444443999999,2.444444443999999,2.444444443999999,2.444444444
14,3.3346109962488586,3.3304908687650796,3.338276168812056,3.325581395426717
15,2.444444443999999,2.4443504269108267,2.444444443999999,2.4488020698600024
16,2.4814814814074024,2.4814814814074024,2.4814814814074024,2.481481481407408
17,2.555555556000001,2.555555556000001,2.555555556000001,2.555555556
18,2.3333333329999966,2.3333333329999966,2.333333332999997,2.333333333
19,1.2222222219999994,1.2222222219999994,1.2222222219999994,1.222222222
20,2.3333333329999966,2.3333333329999966,2.333333332999997,2.333333333
21,2.6774193545390275,2.6769781545307207,2.6774242421245456,2.677419354539022
22,2.555555556000001,2.555555556000001,2.555555556000001,2.555555556
23,2.563122605180877,2.56226231514157,2.563218390613546,2.563218390613556
24,1.666666666999999,1.666666666999999,1.666666666999999,1.666666667
25,1.888888888999991,1.888888888999991,1.888888888999991,1.888888889
26,1.4444444439999986,1.4444444439999986,1.4444444439999986,1.444444444
27,3.0002560251290173,2.999675335181223,3.00119317390003,3.0
28,2.0,2.0,2.0,2.0
29,3.0544414897606966,3.051886544544463,3.0595797573472105,3.0584795321551246
30,2.999999999881585,2.9995002437632468,3.000578023445737,3.0
31,2.6666666669428287,2.666666666894362,2.6667428901628,2.666666667
32,2.3333333329999966,2.3333333329999966,2.333333332999997,2.333333333
33,1.5555555560000014,1.5555555560000014,1.5555555560000014,1.555555556
34,2.3333333329999966,2.3333333329999966,2.333333332999997,2.333333333
35,2.555555556000001,2.555555556000001,2.555555556000001,2.555555556
36,3.222584540847053,3.2220956848923072,3.2239389760025534,3.222222222
37,2.3333333329999966,2.3332110495580993,2.333333332999997,2.333333333
38,2.1111111110000094,2.1111111110000094,2.1111111110000094,2.111111111
39,2.9999251511382976,2.999610627505288,3.0001801800404793,2.9999999995
40,1.7777777779999926,1.7777777779999926,1.7777777779999926,1.777777778
41,2.999999999864433,2.999747895229883,3.00029006740809,3.0
42,2.5476190475076663,2.5476190475076663,2.547882320640311,2.547619047507653
43,3.2248347604604874,3.2231107721346626,3.227975437836774,3.222222222
44,2.444444443999999,2.444444443999999,2.444444443999999,2.444444444
45,1.888888888999991,1.888888888999991,1.888888888999991,1.888888889
46,2.0,2.0,2.0,2.0
47,2.777777777984448,2.7771600906909555,2.7777777779999853,2.777777778
48,3.2011964288584807,3.183261483690078,3.227129521396864,3.201058201260771
49,2.6590358327560972,2.6581327027700263,2.6593399298486013,2.6592592596088886
50,1.888888888999991,1.888888888999991,1.888888888999991,1.888888889
51,2.5476190475076663,2.5476190475076663,2.5476249998890355,2.547619047507653
52,2.6666666669414543,2.6666648150385583,2.666666666967311,2.666666667
53,2.8888888889999897,2.8886951448360705,2.8893441380890725,2.888888889
54,2.7777777779902326,2.777668402983503,2.7777777779999853,2.777777778
55,2.3333333329999966,2.3333333329999966,2.3333410806064294,2.333333333
56,2.666666666947193,2.666666666895802,2.666755118843331,2.666666667
57,1.7777777779999926,1.7777777779999926,1.7777777779999926,1.777777778
58,1.0,1.0,1.0023888888865002,1.0
59,1.1111111110000058,1.1094166665572556,1.1111111110000058,1.111111111
60,2.9755005139906006,2.9718791221433327,2.977529833695975,2.9819819820715856
61,1.7777777779999926,1.7777777779999926,1.7777777779999926,1.777777778
62,1.666666666999999,1.666666666999999,1.666666666999999,1.666666667
63,1.1111111110000058,1.1109999998890059,1.1111111110000058,1.111111111
64,1.7777777779999926,1.7777777779999926,1.7777777779999926,1.777777778
65,2.936705332625502,2.9321769097105945,2.9425820830317133,2.9428571429159183
66,2.6091954026920274,2.6089954026793376,2.609736714010833,2.6091954026920328
67,2.4814814814074024,2.4814814814074024,2.4814814814074024,2.481481481407408
68,2.5476190475076663,2.5476190475076663,2.547882320640311,2.547619047507653
69,1.333333333000005,1.333333333000005,1.3333333330000052,1.333333333
70,1.666666666999999,1.666666666999999,1.666666666999999,1.666666667
71,2.777777777983901,2.777501262833085,2.7777777779999853,2.777777778
72,2.6362353641407497,2.6354736551102302,2.6367962568045518,2.6370370367933336
73,2.3333333329999966,2.3333333329999966,2.333333332999997,2.333333333
74,3.6738958766095973,3.6651424353038067,3.7302922110071317,3.666666667
75,3.169306098481624,3.165468304366798,3.174222787652385,3.168021680449732
76,2.555555556000001,2.555551587745755,2.5555670502519217,2.555555556
77,2.777743055761422,2.7771666668845927,2.7777777779999853,2.777777778
78,2.4358974358934837,2.4356795726415275,2.4360427350312945,2.435897435893491
79,2.3333333329999966,2.3333333329999966,2.333333332999997,2.333333333
80,1.2222222219999994,1.2222222219999994,1.2222222219999994,1.222222222
81,1.333333333000005,1.333333333000005,1.3333333330000052,1.333333333
82,1.888888888999991,1.888888888999991,1.888888888999991,1.888888889
83,1.888888888999991,1.888888888999991,1.888888888999991,1.888888889
84,1.2222222219999994,1.2222222219999994,1.2222222219999994,1.222222222
85,1.666666666999999,1.666666666999999,1.666666666999999,1.666666667
86,2.6365836317685147,2.63571032564782,2.63730902874982,2.6370370367933336
87,2.386666666281599,2.386666666281599,2.386666666281599,2.3866666662816005
88,2.563122605180877,2.56226231514157,2.563218390613546,2.563218390613556
89,2.2222222220000116,2.2222222220000116,2.2222222220000116,2.222222222
90,2.6666666669311097,2.6666666668895056,2.6666677075753054,2.666666667
91,2.563122605180877,2.56226231514157,2.563218390613546,2.563218390613556
92,3.2421906229258974,3.231829391278566,3.249100264492066,3.243902439195717
93,2.386666666281599,2.386666666281599,2.386666666281599,2.3866666662816005
